Arizona Bootstrap 5.1,Current Design Token,Value
"--az-navbar-dropdown-toggle-icon-active-child","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' height='24px' viewBox='0 -960 960 960' width='24px' fill='%23ab0520'%3e%3cpath d='m480-453-95-95q-11-11-27.5-11T329-548q-12 12-12 28.5t12 28.5l123 123q12 12 28 12t28-12l124-124q12-12 11.5-28T631-548q-12-11-28-11.5T575-548l-95 95Zm0 373q-83 0-156-31.5T197-197q-54-54-85.5-127T80-480q0-83 31.5-156T197-763q54-54 127-85.5T480-880q83 0 156 31.5T763-763q54 54 85.5 127T880-480q0 83-31.5 156T763-197q-54 54-127 85.5T480-80Zm0-80q134 0 227-93t93-227q0-134-93-227t-227-93q-134 0-227 93t-93 227q0 134 93 227t227 93Zm0-320Z'/%3e%3c/svg%3e"")"
"--az-navbar-dropdown-padding-x","","12px"
"--az-navbar-dropdown-toggle-icon-gap","","8px"
"--az-navbar-dropdown-toggle-icon-size","","24px"
"--az-navbar-dropdown-toggle-padding-y","","17px"
"--az-navbar-dropdown-max-width","","50%"
"--az-navbar-secondary-dropdown-item-padding-x","","20px"
"--az-navbar-secondary-dropdown-item-padding-y","","12px"
"--az-navbar-tertiary-menu-padding-y","","16px"
"--az-navbar-tertiary-menu-item-padding-y","","8px"
"--az-navbar-tertiary-menu-item-padding-start","","30px"
"--az-navbar-focus-ring","","0 0 0 0.25rem rgba(171, 5, 32, 0.5)"
"--az-navbar-focus-ring-inset","","inset 0 0 0 0.25rem rgba(171, 5, 32, 0.5)"
"--az-search-width","","265px"
"--az-search-height","","43px"
"--az-search-padding-y","","5px"
"--az-search-padding-x","","15px"
"--az-search-btn-padding","","9px"
"--az-search-input-padding","","6px 12px 6px 12px"
"--az-search-icon-size","","24px"
"--az-search-color","","var(--bs-white)"
"--az-search-border-width","","2px"
"--az-search-border-color","","var(--az-search-color)"
"--az-search-icon","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='43.535' height='43.535' viewBox='0 0 43.535 43.535' fill='none'%3e%3cellipse cx='17.972' cy='17.831' rx='15.472' ry='15.331' stroke='%23fff' stroke-width='5'/%3e%3cline x1='31' y1='31' x2='40' y2='40' stroke='%23fff' stroke-width='5' stroke-linecap='round'/%3e%3c/svg%3e"")"
"--az-search-icon-hover","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='43.535' height='43.535' viewBox='0 0 43.535 43.535' fill='none'%3e%3cellipse cx='17.972' cy='17.831' rx='15.472' ry='15.331' stroke='%2381d3eb' stroke-width='5'/%3e%3cline x1='31' y1='31' x2='40' y2='40' stroke='%2381d3eb' stroke-width='5' stroke-linecap='round'/%3e%3c/svg%3e"")"
"--az-search-font","","normal normal normal 16px/22px proxima-nova"
"--az-search-focus-ring-color","","var(--bs-sky)"
"--az-search-focus-ring-width","","1px"
"--az-navbar-fullscreen-height","","100px"
"--az-navbar-fullscreen-mobile-padding-xy","","20px"
"--az-navbar-fullscreen-bg","","var(--bs-blue)"
"--az-navbar-fullscreen-bottom-border-color","","var(--bs-red)"
"--az-navbar-fullscreen-bottom-border-width","","3px"
"--az-navbar-fullscreen-brand-height","","60px"
"--az-navbar-fullscreen-toggler-bg","","var(--bs-red)"
"--az-navbar-fullscreen-toggler-hover-color","","var(--bs-chili)"
"--az-navbar-fullscreen-toggler-focus-color","","var(--bs-bloom)"
"--az-navbar-fullscreen-toggler-focus-width","","2px"
"--az-navbar-fullscreen-toggler-focus-offset","","2px"
"--az-navbar-fullscreen-focus-ring-color","","var(--bs-sky)"
"--az-navbar-fullscreen-focus-ring-width","","2px"
"--az-navbar-fullscreen-toggler-icon-open","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='35' height='35' viewBox='0 0 35 35' fill='none'%3e%3cline x1='2.5' y1='2.5' x2='32.5' y2='2.5' stroke='%23fff' stroke-width='5' stroke-linecap='round'/%3e%3cline x1='2.5' y1='17.5' x2='32.5' y2='17.5' stroke='%23fff' stroke-width='5' stroke-linecap='round'/%3e%3cline x1='2.5' y1='32.5' x2='32.5' y2='32.5' stroke='%23fff' stroke-width='5' stroke-linecap='round'/%3e%3c/svg%3e"")"
"--az-navbar-fullscreen-toggler-icon-close","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='36.07' height='36.07' viewBox='0 0 36.07 36.07' fill='none'%3e%3cline x1='4' y1='4' x2='32.07' y2='32.07' stroke='%23fff' stroke-width='5' stroke-linecap='round'/%3e%3cline x1='32.07' y1='4' x2='4' y2='32.07' stroke='%23fff' stroke-width='5' stroke-linecap='round'/%3e%3c/svg%3e"")"
"--az-navbar-fullscreen-toggler-icon-size","","30px"
"--az-navbar-fullscreen-actions-font-weight","","bold"
"--az-navbar-fullscreen-actions-font-size","","22px"
"--az-navbar-fullscreen-actions-line-height","","27px"
"--az-navbar-fullscreen-actions-font","","normal normal var(--az-navbar-fullscreen-actions-font-weight) var(--az-navbar-fullscreen-actions-font-size) / var(--az-navbar-fullscreen-actions-line-height) proxima-nova-condensed"
"--az-navbar-fullscreen-actions-separator-width","","2px"
"--az-navbar-fullscreen-actions-separator-color","","var(--bs-bloom)"
"--az-navbar-fullscreen-modal-footer-font","","normal normal bold 16px/20px proxima-nova-condensed"
"--az-navbar-fullscreen-modal-footer-letter-spacing","",".18px"
"--az-navbar-fullscreen-modal-footer-brand-font","","normal normal bold 18px/22px proxima-nova-condensed"
"--az-navbar-fullscreen-modal-footer-brand-letter-spacing","",".36px"
"--az-navbar-fullscreen-modal-footer-navbar-padding-y","","9px"
"--az-navbar-fullscreen-modal-footer-nav-link-padding-x","","10px"
"--az-navbar-fullscreen-modal-footer-nav-link-padding-y","","9px"
"--az-navbar-fullscreen-modal-top-fade-size","","40px"
"--az-navbar-fullscreen-modal-bottom-fade-size","","30px"
"--az-navbar-fullscreen-modal-fade-color","","var(--bs-blue)"
"--az-navbar-fullscreen-modal-scrollbar-thumb-color","","#061226"
"--az-navbar-fullscreen-modal-scrollbar-track-color","","transparent"
"--az-navbar-fullscreen-modal-focus-ring-color","","var(--az-navbar-fullscreen-focus-ring-color)"
"--az-navbar-fullscreen-modal-focus-ring-width","","var(--az-navbar-fullscreen-focus-ring-width)"
"--az-navbar-fullscreen-nav-toggle-icon","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='39.68' height='39.68' viewBox='0 0 39.68 39.68'%3e%3ccircle fill='none' stroke='%23fff' stroke-width='2' cx='19.84' cy='19.84' r='18.84'/%3e%3cpath fill='none' stroke='%23fff' stroke-width='2' stroke-linecap='round' d='M16.27 10.42l9.42 9.42-9.42 9.42'/%3e%3c/svg%3e"")"
"--az-navbar-fullscreen-nav-toggle-icon-hover","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='41.88' height='41.88' viewBox='0 0 41.88 41.88'%3e%3ccircle fill='none' stroke='%2381d3eb' stroke-width='3' cx='20.94' cy='20.94' r='19.44'/%3e%3cpath fill='none' stroke='%2381d3eb' stroke-width='3' stroke-linecap='round' d='M17.26 11.22l9.72 9.72-9.72 9.72'/%3e%3c/svg%3e"")"
"--az-navbar-fullscreen-nav-toggle-icon-active","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='42' height='42' viewBox='0 0 42 42'%3e%3cg transform='translate%281 1%29'%3e%3ccircle fill='%2381d3eb' stroke='none' cx='20' cy='20' r='20' transform='translate%280 40%29 rotate%28-90%29'/%3e%3cpath fill='none' stroke='%230c234b' stroke-width='3' stroke-linecap='round' d='M-23110.98-11472l10,10-10,10' transform='translate%2823127.197 11482%29'/%3e%3c/g%3e%3c/svg%3e"")"
"--az-navbar-fullscreen-modal-menu-font-weight","","bold"
"--az-navbar-fullscreen-modal-menu-font-size","","20px"
"--az-navbar-fullscreen-modal-menu-line-height","","24px"
"--az-navbar-fullscreen-modal-menu-font-family","","proxima-nova-condensed"
"--az-navbar-fullscreen-modal-menu-font","","normal normal var(--az-navbar-fullscreen-modal-menu-font-weight) var(--az-navbar-fullscreen-modal-menu-font-size) / var(--az-navbar-fullscreen-modal-menu-line-height) var(--az-navbar-fullscreen-modal-menu-font-family)"
"--az-navbar-fullscreen-modal-menu-letter-spacing","",".4px"
"--az-navbar-fullscreen-modal-menu-color","","var(--bs-white)"
"--az-navbar-fullscreen-modal-menu-hover-color","","var(--bs-sky)"
"--az-navbar-fullscreen-modal-menu-active-color","","var(--bs-sky)"
"--az-navbar-fullscreen-modal-menu-underline-height","","1px"
"--az-navbar-fullscreen-modal-menu-primary-font-weight","","600"
"--az-navbar-fullscreen-modal-menu-primary-font-size","","48px"
"--az-navbar-fullscreen-modal-menu-primary-line-height","","48px"
"--az-navbar-fullscreen-modal-menu-primary-font-family","","garamond-premier-pro"
"--az-navbar-fullscreen-modal-menu-primary-font","","normal normal var(--az-navbar-fullscreen-modal-menu-primary-font-weight) var(--az-navbar-fullscreen-modal-menu-primary-font-size) / var(--az-navbar-fullscreen-modal-menu-primary-line-height) var(--az-navbar-fullscreen-modal-menu-primary-font-family)"
"--az-navbar-fullscreen-modal-menu-primary-letter-spacing","",".1px"
"--az-navbar-fullscreen-modal-menu-primary-color","","var(--az-navbar-fullscreen-modal-menu-color)"
"--az-navbar-fullscreen-modal-menu-primary-hover-color","","var(--az-navbar-fullscreen-modal-menu-hover-color)"
"--az-navbar-fullscreen-modal-menu-primary-active-color","","var(--az-navbar-fullscreen-modal-menu-active-color)"
"--az-navbar-fullscreen-modal-menu-primary-underline-height","","2px"
"--az-navbar-fullscreen-modal-menu-secondary-font-weight","","var(--az-navbar-fullscreen-modal-menu-font-weight)"
"--az-navbar-fullscreen-modal-menu-secondary-font-size","","var(--az-navbar-fullscreen-modal-menu-font-size)"
"--az-navbar-fullscreen-modal-menu-secondary-line-height","","var(--az-navbar-fullscreen-modal-menu-line-height)"
"--az-navbar-fullscreen-modal-menu-secondary-font","","normal normal var(--az-navbar-fullscreen-modal-menu-secondary-font-weight) var(--az-navbar-fullscreen-modal-menu-secondary-font-size) / var(--az-navbar-fullscreen-modal-menu-secondary-line-height) var(--az-navbar-fullscreen-modal-menu-secondary-font-family)"
"--az-navbar-fullscreen-modal-menu-secondary-letter-spacing","","var(--az-navbar-fullscreen-modal-menu-letter-spacing)"
"--az-navbar-fullscreen-modal-menu-secondary-color","","var(--az-navbar-fullscreen-modal-menu-color)"
"--az-navbar-fullscreen-modal-menu-secondary-hover-color","","var(--az-navbar-fullscreen-modal-menu-hover-color)"
"--az-navbar-fullscreen-modal-menu-secondary-active-color","","var(--az-navbar-fullscreen-modal-menu-letter-active-color)"
"--az-navbar-fullscreen-modal-menu-secondary-underline-height","","var(--az-navbar-fullscreen-modal-menu-underline-height)"
"--az-navbar-fullscreen-modal-menu-tertiary-font-weight","","var(--az-navbar-fullscreen-modal-menu-font-weight)"
"--az-navbar-fullscreen-modal-menu-tertiary-font-size","","var(--az-navbar-fullscreen-modal-menu-font-size)"
"--az-navbar-fullscreen-modal-menu-tertiary-line-height","","var(--az-navbar-fullscreen-modal-menu-line-height)"
"--az-navbar-fullscreen-modal-menu-tertiary-font","","normal normal var(--az-navbar-fullscreen-modal-menu-tertiary-font-weight) var(--az-navbar-fullscreen-modal-menu-tertiary-font-size) / var(--az-navbar-fullscreen-modal-menu-tertiary-line-height) var(--az-navbar-fullscreen-modal-menu-tertiary-font-family)"
"--az-navbar-fullscreen-modal-menu-tertiary-letter-spacing","","var(--az-navbar-fullscreen-modal-menu-letter-spacing)"
"--az-navbar-fullscreen-modal-menu-tertiary-color","","var(--az-navbar-fullscreen-modal-menu-color)"
"--az-navbar-fullscreen-modal-menu-tertiary-hover-color","","var(--az-navbar-fullscreen-modal-menu-hover-color)"
"--az-navbar-fullscreen-modal-menu-tertiary-active-color","","var(--az-navbar-fullscreen-modal-menu-active-color)"
"--az-navbar-fullscreen-modal-menu-tertiary-underline-height","","var(--az-navbar-fullscreen-modal-menu-underline-height)"
"--az-navbar-fullscreen-modal-menu-separator-color","","var(--bs-azurite)"
"--az-navbar-fullscreen-modal-menu-col-spacing-x","","24px"
"--az-navbar-fullscreen-modal-menu-focus-text-inset-x","","2px"
"--az-navbar-fullscreen-modal-menu-focus-text-padding-x","","4px"
"--az-nav-link-text-underline-height","","var(--az-navbar-fullscreen-modal-menu-underline-height)"
"--az-navbar-fullscreen-modal-menu-nav-link-line-height","","var(--az-navbar-fullscreen-modal-menu-line-height)"
"--az-navbar-fullscreen-nav-toggle-padding-y","","15px"
"--az-navbar-fullscreen-modal-menu-nav-link-padding-top","","var(--bs-nav-link-padding-y)"
"--az-navbar-fullscreen-modal-menu-nav-toggle-padding-top","","var(--az-navbar-fullscreen-nav-toggle-padding-y)"
"--az-navbar-fullscreen-modal-menu-nav-toggle-separator-top","","var(--az-navbar-fullscreen-nav-toggle-padding-y)"
"--az-navbar-fullscreen-nav-toggle-size","","40px"
"--az-navbar-fullscreen-nav-toggle-separator-offset","","24px"
"--az-navbar-fullscreen-back-icon","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='42' height='42' viewBox='0 0 42 42'%3e%3cg transform='translate%281 1%29'%3e%3ccircle fill='none' stroke='%23fff' stroke-width='2' cx='20' cy='20' r='20' transform='translate%280 40%29 rotate%28-90%29'/%3e%3cpath fill='none' stroke='%23fff' stroke-width='2' stroke-linecap='round' d='M-23110.98-11472l10,10-10,10' transform='translate%2823127.197 11482%29'/%3e%3c/g%3e%3c/svg%3e"")"
"--az-navbar-fullscreen-back-icon-active","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' height='24px' viewBox='0 -960 960 960' width='24px' fill='%2381d3eb'%3e%3cpath d='m480-453-95-95q-11-11-27.5-11T329-548q-12 12-12 28.5t12 28.5l123 123q12 12 28 12t28-12l124-124q12-12 11.5-28T631-548q-12-11-28-11.5T575-548l-95 95Zm0 373q-83 0-156-31.5T197-197q-54-54-85.5-127T80-480q0-83 31.5-156T197-763q54-54 127-85.5T480-880q83 0 156 31.5T763-763q54 54 85.5 127T880-480q0 83-31.5 156T763-197q-54 54-127 85.5T480-80Z'/%3e%3c/svg%3e"")"
"--az-navbar-fullscreen-back-icon-active-child","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' height='24px' viewBox='0 -960 960 960' width='24px' fill='%2381d3eb'%3e%3cpath d='m480-453-95-95q-11-11-27.5-11T329-548q-12 12-12 28.5t12 28.5l123 123q12 12 28 12t28-12l124-124q12-12 11.5-28T631-548q-12-11-28-11.5T575-548l-95 95Zm0 373q-83 0-156-31.5T197-197q-54-54-85.5-127T80-480q0-83 31.5-156T197-763q54-54 127-85.5T480-880q83 0 156 31.5T763-763q54 54 85.5 127T880-480q0 83-31.5 156T763-197q-54 54-127 85.5T480-80Zm0-80q134 0 227-93t93-227q0-134-93-227t-227-93q-134 0-227 93t-93 227q0 134 93 227t227 93Zm0-320Z'/%3e%3c/svg%3e"")"
